date,STUSPS,positiveIncreaseRate
2020-01-22,OH,0.0
2020-01-23,OH,0.0
2020-01-24,OH,0.0
2020-01-25,OH,0.0
2020-01-26,OH,0.0
2020-01-27,OH,0.0
2020-01-28,OH,0.0
2020-01-29,OH,0.0
2020-01-30,OH,0.0
2020-01-31,OH,0.0
2020-02-01,OH,0.0
2020-02-02,OH,0.0
2020-02-03,OH,0.0
2020-02-04,OH,0.0
2020-02-05,OH,0.0
2020-02-06,OH,0.0
2020-02-07,OH,0.0
2020-02-08,OH,0.0
2020-02-09,OH,0.0
2020-02-10,OH,0.0
2020-02-11,OH,0.0
2020-02-12,OH,0.0
2020-02-13,OH,0.0
2020-02-14,OH,0.0
2020-02-15,OH,0.0
2020-02-16,OH,0.0
2020-02-17,OH,0.0
2020-02-18,OH,0.0
2020-02-19,OH,0.0
2020-02-20,OH,0.0
2020-02-21,OH,0.0
2020-02-22,OH,0.0
2020-02-23,OH,0.0
2020-02-24,OH,0.0
2020-02-25,OH,0.0
2020-02-26,OH,0.0
2020-02-27,OH,0.0
2020-02-28,OH,0.0
2020-02-29,OH,0.0
2020-03-01,OH,0.0
2020-03-02,OH,0.0
2020-03-03,OH,0.0
2020-03-04,OH,0.0
2020-03-05,OH,0.0
2020-03-06,OH,0.0
2020-03-07,OH,0.0
2020-03-08,OH,0.0
2020-03-09,OH,0.025664935709336045
2020-03-10,OH,0.0
2020-03-11,OH,0.008554978569778682
2020-03-12,OH,0.008554978569778682
2020-03-13,OH,0.06843982855822946
2020-03-14,OH,0.0
2020-03-15,OH,0.19676450710490967
2020-03-16,OH,0.11976969997690155
2020-03-17,OH,0.1454346356862376
2020-03-18,OH,0.17965454996535235
2020-03-19,OH,0.2652043356631392
2020-03-20,OH,0.4277489284889341
2020-03-21,OH,0.6672883284427372
2020-03-22,OH,0.889717771256983
2020-03-23,OH,0.7785030498498601
2020-03-24,OH,1.0437073855129992
2020-03-25,OH,1.1976969997690154
2020-03-26,OH,1.3944615068739252
2020-03-27,OH,2.309844213840244
2020-03-28,OH,2.301289235270466
2020-03-29,OH,2.113079706735334
2020-03-30,OH,2.3953939995380304
2020-03-31,OH,2.2756242995611298
2020-04-01,OH,2.9771325422829817
2020-04-02,OH,3.0370173922714323
2020-04-03,OH,3.50754121360926
2020-04-04,OH,3.6529758492954976
