date,STUSPS,positiveIncreaseRate
2020-01-22,WV,0.0
2020-01-23,WV,0.0
2020-01-24,WV,0.0
2020-01-25,WV,0.0
2020-01-26,WV,0.0
2020-01-27,WV,0.0
2020-01-28,WV,0.0
2020-01-29,WV,0.0
2020-01-30,WV,0.0
2020-01-31,WV,0.0
2020-02-01,WV,0.0
2020-02-02,WV,0.0
2020-02-03,WV,0.0
2020-02-04,WV,0.0
2020-02-05,WV,0.0
2020-02-06,WV,0.0
2020-02-07,WV,0.0
2020-02-08,WV,0.0
2020-02-09,WV,0.0
2020-02-10,WV,0.0
2020-02-11,WV,0.0
2020-02-12,WV,0.0
2020-02-13,WV,0.0
2020-02-14,WV,0.0
2020-02-15,WV,0.0
2020-02-16,WV,0.0
2020-02-17,WV,0.0
2020-02-18,WV,0.0
2020-02-19,WV,0.0
2020-02-20,WV,0.0
2020-02-21,WV,0.0
2020-02-22,WV,0.0
2020-02-23,WV,0.0
2020-02-24,WV,0.0
2020-02-25,WV,0.0
2020-02-26,WV,0.0
2020-02-27,WV,0.0
2020-02-28,WV,0.0
2020-02-29,WV,0.0
2020-03-01,WV,0.0
2020-03-02,WV,0.0
2020-03-03,WV,0.0
2020-03-04,WV,0.0
2020-03-05,WV,0.0
2020-03-06,WV,0.0
2020-03-07,WV,0.0
2020-03-08,WV,0.0
2020-03-09,WV,0.0
2020-03-10,WV,0.0
2020-03-11,WV,0.0
2020-03-12,WV,0.0
2020-03-13,WV,0.0
2020-03-14,WV,0.0
2020-03-15,WV,0.0
2020-03-16,WV,0.0
2020-03-17,WV,0.0
2020-03-18,WV,0.05579899416733114
2020-03-19,WV,0.05579899416733114
2020-03-20,WV,0.2789949708366557
2020-03-21,WV,0.22319597666932456
2020-03-22,WV,0.05579899416733114
2020-03-23,WV,0.22319597666932456
2020-03-24,WV,0.22319597666932456
2020-03-25,WV,1.0601808891792917
2020-03-26,WV,0.6695879300079737
2020-03-27,WV,1.3949748541832785
2020-03-28,WV,1.1159798833466228
2020-03-29,WV,0.9485829008446294
2020-03-30,WV,0.7253869241753048
2020-03-31,WV,2.008763790023921
2020-04-01,WV,1.6181708308526033
2020-04-02,WV,1.4507738483506096
2020-04-03,WV,1.1159798833466228
2020-04-04,WV,2.510954737529901
2020-04-05,WV,2.3435577550279083
2020-04-06,WV,1.1717788775139542
2020-04-07,WV,3.7385326092111866
2020-04-08,WV,2.789949708366557
2020-04-09,WV,3.4037386442071997
2020-04-10,WV,1.729768819187265
2020-04-11,WV,1.2833768658486162
2020-04-12,WV,1.8971658016892587
2020-04-13,WV,0.8369849125099671
2020-04-14,WV,0.7811859183426361
2020-04-15,WV,3.4595376383745307
2020-04-16,WV,2.0645627841912524
2020-04-17,WV,0.8369849125099671
2020-04-18,WV,1.729768819187265
2020-04-19,WV,4.3523215450518284
2020-04-20,WV,2.1761607725259147
2020-04-21,WV,0.6695879300079737
2020-04-22,WV,1.3949748541832785
2020-04-23,WV,1.562371836685272
2020-04-24,WV,1.1717788775139542
2020-04-25,WV,1.7855678133545965
2020-04-26,WV,1.3391758600159474
2020-04-27,WV,1.0601808891792917
2020-04-28,WV,0.8927839066772982
2020-04-29,WV,0.8927839066772982
2020-04-30,WV,1.2833768658486162
2020-05-01,WV,1.0043818950119603
2020-05-02,WV,1.841366807521928
2020-05-03,WV,1.2275778716812848
2020-05-04,WV,0.8369849125099671
2020-05-05,WV,1.7855678133545965
2020-05-06,WV,0.5579899416733114
2020-05-07,WV,2.1761607725259147
2020-05-08,WV,1.2833768658486162
2020-05-09,WV,1.3949748541832785
2020-05-10,WV,1.3949748541832785
2020-05-11,WV,0.33479396500398684
2020-05-12,WV,0.2789949708366557
2020-05-13,WV,1.5065728425179408
2020-05-14,WV,1.6181708308526033
2020-05-15,WV,0.7811859183426361
2020-05-16,WV,0.8927839066772982
2020-05-17,WV,1.841366807521928
2020-05-18,WV,0.05579899416733114
2020-05-19,WV,1.0043818950119603
2020-05-20,WV,2.008763790023921
2020-05-21,WV,2.6783517200318947
2020-05-22,WV,1.2833768658486162
2020-05-23,WV,5.635698410900445
2020-05-24,WV,2.3435577550279083
2020-05-25,WV,0.8369849125099671
2020-05-26,WV,4.463919533386491
2020-05-27,WV,0.7253869241753048
2020-05-28,WV,2.1761607725259147
2020-05-29,WV,2.510954737529901
2020-05-30,WV,1.2833768658486162
2020-05-31,WV,2.008763790023921
