date,STUSPS,positiveIncreaseRate
2020-01-22,VA,0.0
2020-01-23,VA,0.0
2020-01-24,VA,0.0
2020-01-25,VA,0.0
2020-01-26,VA,0.0
2020-01-27,VA,0.0
2020-01-28,VA,0.0
2020-01-29,VA,0.0
2020-01-30,VA,0.0
2020-01-31,VA,0.0
2020-02-01,VA,0.0
2020-02-02,VA,0.0
2020-02-03,VA,0.0
2020-02-04,VA,0.0
2020-02-05,VA,0.0
2020-02-06,VA,0.0
2020-02-07,VA,0.0
2020-02-08,VA,0.0
2020-02-09,VA,0.0
2020-02-10,VA,0.0
2020-02-11,VA,0.0
2020-02-12,VA,0.0
2020-02-13,VA,0.0
2020-02-14,VA,0.0
2020-02-15,VA,0.0
2020-02-16,VA,0.0
2020-02-17,VA,0.0
2020-02-18,VA,0.0
2020-02-19,VA,0.0
2020-02-20,VA,0.0
2020-02-21,VA,0.0
2020-02-22,VA,0.0
2020-02-23,VA,0.0
2020-02-24,VA,0.0
2020-02-25,VA,0.0
2020-02-26,VA,0.0
2020-02-27,VA,0.0
2020-02-28,VA,0.0
2020-02-29,VA,0.0
2020-03-01,VA,0.0
2020-03-02,VA,0.0
2020-03-03,VA,0.0
2020-03-04,VA,0.0
2020-03-05,VA,0.0
2020-03-06,VA,0.0
2020-03-07,VA,0.0
2020-03-08,VA,0.023431498424407463
2020-03-09,VA,0.011715749212203731
2020-03-10,VA,0.05857874606101866
2020-03-11,VA,0.011715749212203731
2020-03-12,VA,0.09372599369762986
2020-03-13,VA,0.15230473975864853
2020-03-14,VA,0.0
2020-03-15,VA,0.175736238183056
2020-03-16,VA,0.0702944952732224
2020-03-17,VA,0.18745198739525973
2020-03-18,VA,0.11715749212203733
2020-03-19,VA,0.19916773660746348
2020-03-20,VA,0.23431498424407465
2020-03-21,VA,0.44519847006374186
2020-03-22,VA,0.7849551972176502
2020-03-23,VA,0.41005122242713066
2020-03-24,VA,0.4217669716393345
2020-03-25,VA,1.1832906704325772
2020-03-26,VA,0.8083866956420576
2020-03-27,VA,1.687067886557338
2020-03-28,VA,1.581626143647504
2020-03-29,VA,1.7690781310427641
2020-03-30,VA,1.523047397586485
2020-03-31,VA,2.6946223188068585
2020-04-01,VA,2.741485315655673
2020-04-02,VA,2.600896325109229
2020-04-03,VA,3.5850192589343424
2020-04-04,VA,4.627720938820475
2020-04-05,VA,2.6946223188068585
2020-04-06,VA,2.8234955601411
2020-04-07,VA,5.330665891552699
2020-04-08,VA,3.6553137542075653
2020-04-09,VA,4.651152437244882
2020-04-10,VA,5.471254882099143
2020-04-11,VA,6.6545455525317205
2020-04-12,VA,2.308002594804136
2020-04-13,VA,5.541549377372366
2020-04-14,VA,4.967477665974383
2020-04-15,VA,3.854481490815029
2020-04-16,VA,4.557426443547253
2020-04-17,VA,7.0528810257466485
2020-04-18,VA,6.5842510572584985
2020-04-19,VA,5.670422618706608
2020-04-20,VA,5.307234393128291
2020-04-21,VA,7.498079495810388
2020-04-22,VA,7.451216498961574
2020-04-23,VA,8.575928423333131
2020-04-24,VA,6.982586530473426
2020-04-25,VA,9.044558391821283
2020-04-26,VA,7.0763125241710565
2020-04-27,VA,6.61939830489511
2020-04-28,VA,9.419462366611803
2020-04-29,VA,7.287196009990723
2020-04-30,VA,10.368438052800306
2020-05-01,VA,12.360115418874939
2020-05-02,VA,9.724071846129098
2020-05-03,VA,11.01280425947151
2020-05-04,VA,9.618630103219266
2020-05-05,VA,8.950832398123653
2020-05-06,VA,0.0
2020-05-07,VA,15.394494464835706
2020-05-08,VA,9.044558391821283
2020-05-09,VA,10.005249827221988
2020-05-10,VA,10.368438052800306
2020-05-11,VA,11.58687597086949
2020-05-12,VA,8.552496924908725
2020-05-13,VA,11.083098754744732
2020-05-14,VA,12.500704409421385
2020-05-15,VA,10.063828573283008
2020-05-16,VA,11.844622453537974
2020-05-17,VA,8.25960319460363
2020-05-18,VA,8.810243407577207
2020-05-19,VA,11.77432795826475
2020-05-20,VA,8.93911664891145
2020-05-21,VA,14.398655781798391
2020-05-22,VA,9.524904109521637
2020-05-23,VA,9.360883620550783
2020-05-24,VA,5.799295860040847
2020-05-25,VA,17.374456081698142
2020-05-26,VA,18.920934977709027
2020-05-27,VA,10.626184535468788
2020-05-28,VA,13.496543092458706
2020-05-29,VA,13.262228108214627
2020-05-30,VA,12.629577650755625
2020-05-31,VA,11.668886215354917
2020-06-01,VA,9.267157626853152
2020-06-02,VA,9.85294508746334
2020-06-03,VA,7.802688975327686
2020-06-04,VA,11.14167750080575
2020-06-05,VA,7.919846467449723
2020-06-06,VA,10.13412306855623
2020-06-07,VA,15.043021988469595
2020-06-08,VA,6.6779770509561285
2020-06-09,VA,5.705569866343218
2020-06-10,VA,5.143213904157438
2020-06-11,VA,5.506402129735755
2020-06-12,VA,6.6076825556829055
2020-06-13,VA,7.708962981630057
2020-06-14,VA,7.462932248173778
2020-06-15,VA,4.45198470063742
2020-06-16,VA,5.213508399430663
2020-06-17,VA,5.201792650218458
2020-06-18,VA,5.424391885250329
2020-06-19,VA,6.502240812773072
2020-06-20,VA,7.615236987932428
2020-06-21,VA,6.455377815924258
2020-06-22,VA,5.518117878947958
2020-06-23,VA,6.197631333255775
2020-06-24,VA,6.092189590345942
2020-06-25,VA,5.061203659672013
2020-06-26,VA,7.310627508415131
2020-06-27,VA,7.931562216661928
2020-06-28,VA,5.729001364767626
2020-06-29,VA,5.307234393128291
2020-06-30,VA,7.006018028897832
2020-07-01,VA,4.873751672276753
2020-07-02,VA,6.232778580892386
2020-07-03,VA,7.708962981630057
2020-07-04,VA,8.388476435937871
2020-07-05,VA,7.486363746598187
2020-07-06,VA,4.1473752211201225
2020-07-07,VA,7.474647997385982
2020-07-08,VA,7.439500749749371
2020-07-09,VA,7.181754267080889
2020-07-10,VA,11.047951507108118
2020-07-11,VA,9.970102579585378
2020-07-12,VA,10.403585300436916
2020-07-13,VA,11.387708234262028
2020-07-14,VA,9.384315118975193
2020-07-15,VA,12.699872146028847
2020-07-16,VA,10.591037287832174
2020-07-17,VA,11.739180710628142
2020-07-18,VA,11.01280425947151
2020-07-19,VA,12.383546917299347
2020-07-20,VA,11.071383005532526
2020-07-21,VA,11.668886215354917
2020-07-22,VA,11.973495694872215
2020-07-23,VA,9.888092335099953
2020-07-24,VA,13.203649362153607
2020-07-25,VA,14.58610776919365
2020-07-26,VA,11.223687745291176
2020-07-27,VA,17.632202564366622
2020-07-28,VA,10.80192077365184
2020-07-29,VA,11.704033462991529
2020-07-30,VA,10.673047532317602
2020-07-31,VA,11.528297224808474
2020-08-01,VA,10.69647903074201
2020-08-02,VA,11.493149977171862
2020-08-03,VA,15.511651956957744
2020-08-04,VA,13.414532847973273
2020-08-05,VA,9.34916787133858
2020-08-06,VA,9.583482855582655
2020-08-07,VA,23.60723466259052
2020-08-08,VA,15.31248422035028
2020-08-09,VA,10.509027043346748
2020-08-10,VA,7.767541727691076
2020-08-11,VA,11.668886215354917
2020-08-12,VA,9.091421388670096
2020-08-13,VA,12.899039882636306
2020-08-14,VA,14.24635104203974
2020-08-15,VA,10.684763281529804
2020-08-16,VA,10.977657011834898
2020-08-17,VA,8.599359921757541
2020-08-18,VA,10.087260071707414
2020-08-19,VA,8.634507169394151
2020-08-20,VA,10.110691570131824
2020-08-21,VA,11.458002729535252
2020-08-22,VA,14.199488045190925
2020-08-23,VA,10.473879795710136
2020-08-24,VA,7.779257476903279
2020-08-25,VA,11.77432795826475
2020-08-26,VA,9.642061601643674
2020-08-27,VA,0.0
2020-08-28,VA,25.00140881884277
2020-08-29,VA,14.258066791251945
2020-08-30,VA,10.9893727610471
2020-08-31,VA,9.923239582736562
2020-09-01,VA,11.961779945660012
2020-09-02,VA,10.860499519712858
2020-09-03,VA,13.191933612941403
2020-09-04,VA,13.016197374758349
2020-09-05,VA,11.10653025316914
2020-09-06,VA,14.047183305432274
2020-09-07,VA,7.55665824187141
2020-09-08,VA,9.794366341402322
2020-09-09,VA,10.333290805163694
2020-09-10,VA,14.480666026283815
2020-09-11,VA,13.063060371607163
2020-09-12,VA,15.230473975864856
2020-09-13,VA,10.239564811466064
2020-09-14,VA,8.868822153638225
2020-09-15,VA,11.047951507108118
2020-09-16,VA,9.899808084312156
2020-09-17,VA,12.899039882636306
