date,STUSPS,positiveIncreaseRate
2020-01-22,IN,0.0
2020-01-23,IN,0.0
2020-01-24,IN,0.0
2020-01-25,IN,0.0
2020-01-26,IN,0.0
2020-01-27,IN,0.0
2020-01-28,IN,0.0
2020-01-29,IN,0.0
2020-01-30,IN,0.0
2020-01-31,IN,0.0
2020-02-01,IN,0.0
2020-02-02,IN,0.0
2020-02-03,IN,0.0
2020-02-04,IN,0.0
2020-02-05,IN,0.0
2020-02-06,IN,0.0
2020-02-07,IN,0.0
2020-02-08,IN,0.0
2020-02-09,IN,0.0
2020-02-10,IN,0.0
2020-02-11,IN,0.0
2020-02-12,IN,0.0
2020-02-13,IN,0.0
2020-02-14,IN,0.0
2020-02-15,IN,0.0
2020-02-16,IN,0.0
2020-02-17,IN,0.0
2020-02-18,IN,0.0
2020-02-19,IN,0.0
2020-02-20,IN,0.0
2020-02-21,IN,0.0
2020-02-22,IN,0.0
2020-02-23,IN,0.0
2020-02-24,IN,0.0
2020-02-25,IN,0.0
2020-02-26,IN,0.0
2020-02-27,IN,0.0
2020-02-28,IN,0.0
2020-02-29,IN,0.0
2020-03-01,IN,0.0
2020-03-02,IN,0.0
2020-03-03,IN,0.0
2020-03-04,IN,0.0
2020-03-05,IN,0.0
2020-03-06,IN,0.014853943402613612
2020-03-07,IN,0.0
2020-03-08,IN,0.014853943402613612
2020-03-09,IN,0.0
2020-03-10,IN,0.05941577361045445
2020-03-11,IN,0.05941577361045445
2020-03-12,IN,0.029707886805227224
2020-03-13,IN,0.0
2020-03-14,IN,0.04456183020784083
2020-03-15,IN,0.05941577361045445
2020-03-16,IN,0.07426971701306806
2020-03-17,IN,0.08912366041568166
2020-03-18,IN,0.1336854906235225
2020-03-19,IN,0.2525170378444314
2020-03-20,IN,0.34164069826011306
2020-03-21,IN,0.6981353399228397
2020-03-22,IN,1.1140457551960208
2020-03-23,IN,0.8615287173515895
2020-03-24,IN,1.5745180006770427
2020-03-25,IN,1.6636416610927245
2020-03-26,IN,2.4954624916390866
2020-03-27,IN,4.990924983278172
2020-03-28,IN,3.728339794056017
2020-03-29,IN,4.188812039537038
2020-03-30,IN,4.0402726055109035
2020-03-31,IN,5.540520889174878
2020-04-01,IN,6.030701021461126
2020-04-02,IN,7.040769172838851
2020-04-03,IN,5.911869474240217
2020-04-04,IN,7.664634795748622
2020-04-05,IN,6.803106078397032
2020-04-06,IN,7.917151833593055
2020-04-07,IN,8.362770135671463
2020-04-08,IN,6.476319323539534
2020-04-09,IN,6.0604089082663535
2020-04-10,IN,8.258792531853167
2020-04-11,IN,7.842882116579987
2020-04-12,IN,7.322994097488509
2020-04-13,IN,4.575014568004992
2020-04-14,IN,4.322497530160561
2020-04-15,IN,6.357487776318626
2020-04-16,IN,8.71926477733419
2020-04-17,IN,9.090613362399527
2020-04-18,IN,7.233870437072826
2020-04-19,IN,8.451893796087145
2020-04-20,IN,7.070477059644079
2020-04-21,IN,6.1049707384741945
2020-04-22,IN,5.065194700291242
2020-04-23,IN,8.92721998497078
2020-04-24,IN,9.521377721075323
2020-04-25,IN,10.620569532868732
2020-04-26,IN,9.164883079412597
2020-04-27,IN,14.096392289080315
2020-04-28,IN,9.313422513438734
2020-04-29,IN,8.823242381152484
2020-04-30,IN,9.699625041906687
2020-05-01,IN,11.80888500507782
2020-05-02,IN,9.877872362738053
2020-05-03,IN,9.476815890867485
2020-05-04,IN,8.526163513100213
2020-05-05,IN,7.813174229774758
2020-05-06,IN,12.432750627987593
2020-05-07,IN,9.402546173854414
2020-05-08,IN,9.551085607880553
2020-05-09,IN,8.704410833931577
2020-05-10,IN,5.852453700629763
2020-05-11,IN,7.44182564470942
2020-05-12,IN,7.426971701306805
2020-05-13,IN,5.13946441730431
2020-05-14,IN,8.615287173515894
2020-05-15,IN,8.942073928373395
2020-05-16,IN,9.283714626633508
2020-05-17,IN,7.397263814501578
2020-05-18,IN,7.085331003046693
2020-05-19,IN,6.684274531176125
2020-05-20,IN,8.451893796087145
2020-05-21,IN,9.833310532530213
2020-05-22,IN,7.0259152294362375
2020-05-23,IN,7.308140154085897
2020-05-24,IN,7.055623116241466
2020-05-25,IN,5.035486813486013
2020-05-26,IN,5.3919814551487395
2020-05-27,IN,5.332565681538286
2020-05-28,IN,9.372838287049188
2020-05-29,IN,7.278432267280668
2020-05-30,IN,9.699625041906687
2020-05-31,IN,5.3919814551487395
2020-06-01,IN,3.8026095110690847
2020-06-02,IN,6.04555496486374
2020-06-03,IN,7.055623116241466
2020-06-04,IN,5.703914266603626
2020-06-05,IN,7.15960072005976
2020-06-06,IN,6.223802285695102
2020-06-07,IN,5.941577361045445
2020-06-08,IN,3.356991208990676
2020-06-09,IN,6.09011679507158
2020-06-10,IN,4.5155987943945375
2020-06-11,IN,6.1049707384741945
2020-06-12,IN,5.911869474240217
2020-06-13,IN,5.897015530837604
2020-06-14,IN,5.436543285356581
2020-06-15,IN,7.738904512761692
2020-06-16,IN,5.288003851330445
2020-06-17,IN,3.37184515239329
2020-06-18,IN,6.312925946110783
2020-06-19,IN,4.575014568004992
2020-06-20,IN,4.678992171823287
2020-06-21,IN,5.377127511746126
2020-06-22,IN,3.1193281145488583
2020-06-23,IN,3.53523852982204
2020-06-24,IN,3.9957107753030607
2020-06-25,IN,7.6497808523460105
2020-06-26,IN,7.2041625502676006
2020-06-27,IN,6.4614653801369215
2020-06-28,IN,5.273149907927832
2020-06-29,IN,4.426475133978856
2020-06-30,IN,5.436543285356581
2020-07-01,IN,5.317711738135673
2020-07-02,IN,6.4614653801369215
2020-07-03,IN,7.842882116579987
2020-07-04,IN,7.679488739151237
2020-07-05,IN,8.55587139990544
2020-07-06,IN,4.797823719044197
2020-07-07,IN,4.381913303771015
2020-07-08,IN,6.491173266942147
2020-07-09,IN,7.6052190221381695
2020-07-10,IN,10.769108966894867
2020-07-11,IN,11.571221910636005
2020-07-12,IN,7.917151833593055
2020-07-13,IN,6.312925946110783
2020-07-14,IN,9.625355324893619
2020-07-15,IN,10.174951230790324
2020-07-16,IN,10.546299815855663
2020-07-17,IN,10.887940514115774
2020-07-18,IN,12.492166401598046
2020-07-19,IN,13.621066100196678
2020-07-20,IN,9.432254060659645
2020-07-21,IN,10.546299815855663
2020-07-22,IN,11.244435155778504
2020-07-23,IN,13.799313421028044
2020-07-24,IN,14.794527629003156
2020-07-25,IN,13.695335817209749
2020-07-26,IN,12.655559779026795
2020-07-27,IN,7.946859720398282
2020-07-28,IN,11.452390363415091
2020-07-29,IN,9.224298853023052
2020-07-30,IN,14.170662006093385
2020-07-31,IN,13.383403005754865
2020-08-01,IN,14.378617213729974
2020-08-02,IN,10.917648400921005
2020-08-03,IN,8.55587139990544
2020-08-04,IN,12.209941476948387
2020-08-05,IN,10.6948392498818
2020-08-06,IN,15.448101138718155
2020-08-07,IN,18.40403587583826
2020-08-08,IN,15.34412353489986
2020-08-09,IN,15.46295508212077
2020-08-10,IN,9.863018419335438
2020-08-11,IN,12.922930760273841
2020-08-12,IN,9.803602645724984
2020-08-13,IN,15.492662968925993
2020-08-14,IN,15.849157610588724
2020-08-15,IN,15.507516912328608
2020-08-16,IN,10.977064174531458
2020-08-17,IN,8.778680550944642
2020-08-18,IN,12.492166401598046
2020-08-19,IN,7.263578323878055
2020-08-20,IN,13.977560741859405
2020-08-21,IN,15.448101138718155
2020-08-22,IN,14.85394340261361
2020-08-23,IN,9.135175192607369
2020-08-24,IN,24.657546048338588
