date,STUSPS,positiveIncreaseRate
2020-01-22,NM,0.0
2020-01-23,NM,0.0
2020-01-24,NM,0.0
2020-01-25,NM,0.0
2020-01-26,NM,0.0
2020-01-27,NM,0.0
2020-01-28,NM,0.0
2020-01-29,NM,0.0
2020-01-30,NM,0.0
2020-01-31,NM,0.0
2020-02-01,NM,0.0
2020-02-02,NM,0.0
2020-02-03,NM,0.0
2020-02-04,NM,0.0
2020-02-05,NM,0.0
2020-02-06,NM,0.0
2020-02-07,NM,0.0
2020-02-08,NM,0.0
2020-02-09,NM,0.0
2020-02-10,NM,0.0
2020-02-11,NM,0.0
2020-02-12,NM,0.0
2020-02-13,NM,0.0
2020-02-14,NM,0.0
2020-02-15,NM,0.0
2020-02-16,NM,0.0
2020-02-17,NM,0.0
2020-02-18,NM,0.0
2020-02-19,NM,0.0
2020-02-20,NM,0.0
2020-02-21,NM,0.0
2020-02-22,NM,0.0
2020-02-23,NM,0.0
2020-02-24,NM,0.0
2020-02-25,NM,0.0
2020-02-26,NM,0.0
2020-02-27,NM,0.0
2020-02-28,NM,0.0
2020-02-29,NM,0.0
2020-03-01,NM,0.0
2020-03-02,NM,0.0
2020-03-03,NM,0.0
2020-03-04,NM,0.0
2020-03-05,NM,0.0
2020-03-06,NM,0.0
2020-03-07,NM,0.0
2020-03-08,NM,0.0
2020-03-09,NM,0.0
2020-03-10,NM,0.14307318336402253
2020-03-11,NM,0.0953821222426817
2020-03-12,NM,0.23845530560670425
2020-03-13,NM,0.0
2020-03-14,NM,0.14307318336402253
2020-03-15,NM,0.1907642444853634
2020-03-16,NM,0.28614636672804505
2020-03-17,NM,0.23845530560670425
2020-03-18,NM,0.3338374278493859
2020-03-19,NM,0.3815284889707268
2020-03-20,NM,0.6676748556987718
2020-03-21,NM,0.0
2020-03-22,NM,0.3815284889707268
2020-03-23,NM,0.8584391001841352
2020-03-24,NM,0.8107480390627942
2020-03-25,NM,0.5722927334560901
2020-03-26,NM,1.1445854669121802
2020-03-27,NM,2.6230083616737465
2020-03-28,NM,2.193788811581679
2020-03-29,NM,0.0
2020-03-30,NM,2.0984066893389968
2020-03-31,NM,1.6214960781255885
2020-04-01,NM,2.2891709338243604
2020-04-02,NM,1.9076424448536335
2020-04-03,NM,4.387577623163358
2020-04-04,NM,2.2891709338243604
2020-04-05,NM,3.862975950828608
2020-04-06,NM,2.9568457895231317
2020-04-07,NM,5.150634601104811
2020-04-08,NM,3.3860653396152003
2020-04-09,NM,10.77817981342303
2020-04-10,NM,0.0
2020-04-11,NM,3.9583580730712904
2020-04-12,NM,3.3860653396152003
2020-04-13,NM,4.769106112134085
2020-04-14,NM,2.9568457895231317
2020-04-15,NM,3.672211706343245
2020-04-16,NM,5.389089906711515
2020-04-17,NM,5.436780967832856
2020-04-18,NM,4.149122317556653
2020-04-19,NM,2.24147987270302
2020-04-20,NM,6.009073701288947
2020-04-21,NM,4.816797173255425
2020-04-22,NM,6.5813664347450365
2020-04-23,NM,8.059789329506602
2020-04-24,NM,6.7721306792304015
2020-04-25,NM,6.629057495866378
2020-04-26,NM,3.147610034008496
2020-04-27,NM,4.626032928770062
2020-04-28,NM,7.201350229322468
2020-04-29,NM,11.398163608000464
2020-04-30,NM,9.44283010202549
2020-05-01,NM,4.864488234376767
2020-05-02,NM,10.444342385573645
2020-05-03,NM,5.62754521231822
2020-05-04,NM,8.632082062962693
2020-05-05,NM,5.10294353998347
2020-05-06,NM,7.296732351565149
2020-05-07,NM,9.63359434651085
2020-05-08,NM,8.584391001841352
2020-05-09,NM,5.0075614177407894
2020-05-10,NM,4.053740195313972
2020-05-11,NM,9.824358590996212
2020-05-12,NM,6.81982174035174
2020-05-13,NM,7.249041290443808
2020-05-14,NM,6.629057495866378
2020-05-15,NM,7.582878718293194
2020-05-16,NM,8.822846307448057
2020-05-17,NM,4.339886562042016
2020-05-18,NM,7.535187657171853
2020-05-19,NM,4.578341867648722
2020-05-20,NM,5.9613826401676056
2020-05-21,NM,7.392114473807831
2020-05-22,NM,7.296732351565149
2020-05-23,NM,8.107480390627941
2020-05-24,NM,7.0582770459584445
2020-05-25,NM,3.9583580730712904
2020-05-26,NM,4.959870356619447
2020-05-27,NM,5.818309456803582
2020-05-28,NM,5.341398845590175
2020-05-29,NM,6.152146884652969
2020-05-30,NM,6.2475290068956495
2020-05-31,NM,3.099918972887155
2020-06-01,NM,5.293707784468833
2020-06-02,NM,10.68279769118035
2020-06-03,NM,5.532163090075538
2020-06-04,NM,10.158196018845599
2020-06-05,NM,15.213448497707729
2020-06-06,NM,6.1044558235316275
2020-06-07,NM,6.676748556987718
2020-06-08,NM,5.818309456803582
2020-06-09,NM,2.0507156282176564
2020-06-10,NM,6.915203862594423
2020-06-11,NM,5.579854151196879
2020-06-12,NM,7.582878718293194
2020-06-13,NM,4.5306508065273805
2020-06-14,NM,4.864488234376767
2020-06-15,NM,5.818309456803582
2020-06-16,NM,4.1968133786779935
2020-06-17,NM,6.295220068016992
2020-06-18,NM,4.1968133786779935
2020-06-19,NM,5.10294353998347
2020-06-20,NM,8.107480390627941
2020-06-21,NM,6.438293251381015
2020-06-22,NM,6.152146884652969
2020-06-23,NM,6.867512801473081
2020-06-24,NM,7.249041290443808
2020-06-25,NM,9.63359434651085
2020-06-26,NM,10.301269202209623
2020-06-27,NM,10.062813896602918
2020-06-28,NM,9.06130161305476
2020-06-29,NM,8.250553573991965
2020-06-30,NM,7.869025085021239
2020-07-01,NM,6.152146884652969
2020-07-02,NM,11.636618913607164
2020-07-03,NM,12.208911647063255
2020-07-04,NM,13.687334541824825
2020-07-05,NM,9.204374796418783
2020-07-06,NM,11.970456341456552
2020-07-07,NM,10.492033446694986
2020-07-08,NM,13.830407725188847
2020-07-09,NM,11.159708302393758
2020-07-10,NM,14.211936214159572
2020-07-11,NM,10.68279769118035
2020-07-12,NM,12.161220585941914
2020-07-13,NM,12.542749074912644
2020-07-14,NM,10.635106630059008
2020-07-15,NM,15.594976986678455
2020-07-16,NM,14.16424515303823
2020-07-17,NM,15.165757436586388
2020-07-18,NM,13.353497113975436
2020-07-19,NM,11.207399363515101
2020-07-20,NM,11.636618913607164
2020-07-21,NM,14.402700458644937
2020-07-22,NM,14.831920008736999
2020-07-23,NM,15.976505475649184
2020-07-24,NM,14.879611069858345
2020-07-25,NM,14.927302130979685
2020-07-26,NM,12.113529524820573
2020-07-27,NM,21.93788811581679
2020-07-28,NM,13.782716664067507
2020-07-29,NM,16.453416086862592
2020-07-30,NM,12.018147402577894
2020-07-31,NM,10.11050495772426
2020-08-01,NM,9.347447979782805
2020-08-02,NM,10.492033446694986
2020-08-03,NM,5.436780967832856
2020-08-04,NM,10.015122835481575
2020-08-05,NM,10.77817981342303
2020-08-06,NM,9.872049652117557
2020-08-07,NM,9.156683735297444
2020-08-08,NM,7.153659168201126
2020-08-09,NM,9.53821222426817
2020-08-10,NM,6.152146884652969
2020-08-11,NM,9.490521163146829
2020-08-12,NM,8.250553573991965
2020-08-13,NM,8.155171451749284
2020-08-14,NM,8.250553573991965
2020-08-15,NM,6.7721306792304015
2020-08-16,NM,5.05525247886213
2020-08-17,NM,4.387577623163358
2020-08-18,NM,3.767593828585927
2020-08-19,NM,8.107480390627941
2020-08-20,NM,9.63359434651085
2020-08-21,NM,6.867512801473081
2020-08-22,NM,9.872049652117557
2020-08-23,NM,4.482959745406039
2020-08-24,NM,3.481447461857881
2020-08-25,NM,3.147610034008496
2020-08-26,NM,9.395139040904146
2020-08-27,NM,8.965919490812079
2020-08-28,NM,5.818309456803582
2020-08-29,NM,6.485984312502353
2020-08-30,NM,5.0075614177407894
2020-08-31,NM,3.2906832173725182
2020-09-01,NM,5.150634601104811
2020-09-02,NM,7.249041290443808
2020-09-03,NM,9.53821222426817
2020-09-04,NM,4.292195500920676
2020-09-05,NM,6.962894923715763
2020-09-06,NM,2.8137726061591097
2020-09-07,NM,1.7645692614896111
2020-09-08,NM,1.7645692614896111
2020-09-09,NM,4.149122317556653
2020-09-10,NM,7.678260840535875
2020-09-11,NM,6.390602190259672
2020-09-12,NM,4.6737239898914025
2020-09-13,NM,4.769106112134085
2020-09-14,NM,3.862975950828608
2020-09-15,NM,3.862975950828608
2020-09-16,NM,5.62754521231822
2020-09-17,NM,7.535187657171853
2020-09-18,NM,7.201350229322468
2020-09-19,NM,7.725951901657218
2020-09-20,NM,3.1953010951298366
2020-09-21,NM,4.959870356619447
2020-09-22,NM,5.10294353998347
2020-09-23,NM,9.395139040904146
2020-09-24,NM,11.30278148575778
2020-09-25,NM,12.542749074912644
2020-09-26,NM,9.776667529874873
2020-09-27,NM,7.249041290443808
2020-09-28,NM,6.724439618109058
2020-09-29,NM,8.202862512870626
2020-09-30,NM,13.258114991732755
2020-10-01,NM,10.77817981342303
2020-10-02,NM,16.167269720134545
2020-10-03,NM,14.116554091916887
2020-10-04,NM,8.632082062962693
2020-10-05,NM,7.392114473807831
2020-10-06,NM,15.022684253222367
2020-10-07,NM,20.26870097656986
2020-10-08,NM,18.313367470594887
2020-10-09,NM,23.130164643850307
2020-10-10,NM,22.939400399364942
2020-10-11,NM,12.447366952669961
2020-10-12,NM,18.07491216498818
2020-10-13,NM,16.739562453590633
2020-10-14,NM,27.517742267013663
2020-10-15,NM,31.85762882905568
2020-10-16,NM,38.72514163052876
2020-10-17,NM,27.3269780225283
2020-10-18,NM,21.222522198996675
2020-10-19,NM,24.513205416369196
2020-10-20,NM,28.32849030607646
2020-10-21,NM,39.05897905837815
2020-10-22,NM,31.571482462327644
2020-10-23,NM,37.72362934698061
2020-10-24,NM,41.58660529780922
2020-10-25,NM,39.24974330286352
2020-10-26,NM,34.480637190729425
2020-10-27,NM,27.803888633741714
2020-10-28,NM,31.33302715672093
2020-10-29,NM,51.410963888805426
2020-10-30,NM,47.92951642694754
2020-10-31,NM,27.70850651149903
2020-11-01,NM,35.386767352034894
2020-11-02,NM,41.58660529780922
2020-11-03,NM,54.17704543384321
