date,STUSPS,positiveIncreaseRate
2020-01-22,NE,0.0
2020-01-23,NE,0.0
2020-01-24,NE,0.0
2020-01-25,NE,0.0
2020-01-26,NE,0.0
2020-01-27,NE,0.0
2020-01-28,NE,0.0
2020-01-29,NE,0.0
2020-01-30,NE,0.0
2020-01-31,NE,0.0
2020-02-01,NE,0.0
2020-02-02,NE,0.0
2020-02-03,NE,0.0
2020-02-04,NE,0.0
2020-02-05,NE,0.0
2020-02-06,NE,0.0
2020-02-07,NE,0.0
2020-02-08,NE,0.0
2020-02-09,NE,0.0
2020-02-10,NE,0.0
2020-02-11,NE,0.0
2020-02-12,NE,0.0
2020-02-13,NE,0.0
2020-02-14,NE,0.0
2020-02-15,NE,0.0
2020-02-16,NE,0.0
2020-02-17,NE,0.0
2020-02-18,NE,0.0
2020-02-19,NE,0.0
2020-02-20,NE,0.0
2020-02-21,NE,0.0
2020-02-22,NE,0.0
2020-02-23,NE,0.0
2020-02-24,NE,0.0
2020-02-25,NE,0.0
2020-02-26,NE,0.0
2020-02-27,NE,0.0
2020-02-28,NE,0.0
2020-02-29,NE,0.0
2020-03-01,NE,0.0
2020-03-02,NE,0.0
2020-03-03,NE,0.0
2020-03-04,NE,0.0
2020-03-05,NE,0.0
2020-03-06,NE,0.0
2020-03-07,NE,0.05169540241769058
2020-03-08,NE,0.0
2020-03-09,NE,0.10339080483538116
2020-03-10,NE,0.0
2020-03-11,NE,0.10339080483538116
2020-03-12,NE,0.2584770120884529
2020-03-13,NE,0.15508620725307176
2020-03-14,NE,0.05169540241769058
2020-03-15,NE,0.15508620725307176
2020-03-16,NE,0.05169540241769058
2020-03-17,NE,0.15508620725307176
2020-03-18,NE,0.15508620725307176
2020-03-19,NE,0.15508620725307176
2020-03-20,NE,0.2584770120884529
2020-03-21,NE,0.3101724145061435
2020-03-22,NE,0.5169540241769057
2020-03-23,NE,0.10339080483538116
2020-03-24,NE,0.10339080483538116
2020-03-25,NE,0.4652586217592152
2020-03-26,NE,0.6203448290122869
2020-03-27,NE,0.6203448290122869
2020-03-28,NE,0.5686494265945964
2020-03-29,NE,0.6203448290122869
2020-03-30,NE,1.9127298894545517
2020-03-31,NE,1.3957758652776455
2020-04-01,NE,1.9644252918722418
2020-04-02,NE,1.8610344870368607
2020-04-03,NE,1.7059482797837893
2020-04-04,NE,2.1712069015430044
2020-04-05,NE,2.1712069015430044
2020-04-06,NE,2.377988511213766
2020-04-07,NE,1.9644252918722418
2020-04-08,NE,3.7220689740737214
2020-04-09,NE,2.4813793160491477
2020-04-10,NE,3.51528736440296
2020-04-11,NE,3.360201157149888
2020-04-12,NE,4.7042816200098425
2020-04-13,NE,1.188994255606883
2020-04-14,NE,2.9466379378083634
2020-04-15,NE,1.5508620725307174
2020-04-16,NE,2.63646552330222
2020-04-17,NE,5.893275875616727
2020-04-18,NE,3.7220689740737214
2020-04-19,NE,7.702614960235896
2020-04-20,NE,9.66704025210814
2020-04-21,NE,8.99500002067816
2020-04-22,NE,3.8254597789091034
2020-04-23,NE,4.7042816200098425
2020-04-24,NE,16.077270151901768
2020-04-25,NE,15.353534518054106
2020-04-26,NE,16.077270151901768
2020-04-27,NE,15.301839115636414
2020-04-28,NE,17.05948279783789
2020-04-29,NE,0.8271264386830492
2020-04-30,NE,21.19511499125314
2020-05-01,NE,25.692615001592216
2020-05-02,NE,28.79433914665365
2020-05-03,NE,25.227356379833
2020-05-04,NE,30.1901150119313
2020-05-05,NE,8.94330461826047
2020-05-06,NE,18.351867858280155
2020-05-07,NE,17.21456900509096
2020-05-08,NE,21.660373613012354
2020-05-09,NE,33.13675294973966
2020-05-10,NE,20.833247174329305
2020-05-11,NE,4.1873275958329375
2020-05-12,NE,13.28571842134648
2020-05-13,NE,6.2034482901228705
2020-05-14,NE,19.799339125975493
2020-05-15,NE,17.628132224432488
2020-05-16,NE,18.403563260697847
2020-05-17,NE,23.159540283125377
2020-05-18,NE,6.617011509464394
2020-05-19,NE,14.319626469700289
2020-05-20,NE,11.424683934309616
2020-05-21,NE,14.2679310672826
2020-05-22,NE,15.663706932560249
2020-05-23,NE,12.251810372992669
2020-05-24,NE,16.904396590584813
2020-05-25,NE,7.4958333505651344
2020-05-26,NE,11.424683934309616
2020-05-27,NE,13.647586238270314
2020-05-28,NE,18.455258663115536
2020-05-29,NE,14.733189689041815
2020-05-30,NE,20.3162931501524
2020-05-31,NE,12.975546006840336
2020-06-01,NE,10.132298873867354
2020-06-02,NE,12.6136781899165
2020-06-03,NE,13.750977043105696
2020-06-04,NE,13.182327616511095
2020-06-05,NE,12.975546006840336
2020-06-06,NE,13.544195433434933
2020-06-07,NE,8.478045996501255
2020-06-08,NE,4.7042816200098425
2020-06-09,NE,6.100057485287487
2020-06-10,NE,6.772097716717466
2020-06-11,NE,7.340747143312062
2020-06-12,NE,14.991666701130269
2020-06-13,NE,10.235689678702736
2020-06-14,NE,6.2034482901228705
2020-06-15,NE,4.755977022427533
2020-06-16,NE,6.513620704629012
2020-06-17,NE,9.305172435184305
2020-06-18,NE,10.080603471449663
2020-06-19,NE,9.770431056943519
2020-06-20,NE,9.098390825513542
2020-06-21,NE,5.996666680452107
2020-06-22,NE,5.324626449022129
2020-06-23,NE,7.599224155400514
2020-06-24,NE,6.978879326388228
2020-06-25,NE,6.668706911882085
2020-06-26,NE,6.4619253022113226
2020-06-27,NE,9.201781630348924
2020-06-28,NE,12.975546006840336
2020-06-29,NE,6.410229899793634
2020-06-30,NE,7.392442545729753
2020-07-01,NE,6.978879326388228
2020-07-02,NE,6.875488521552848
2020-07-03,NE,7.340747143312062
2020-07-04,NE,10.752643702879643
2020-07-05,NE,8.633132203754327
2020-07-06,NE,5.272931046604438
2020-07-07,NE,6.048362082869798
2020-07-08,NE,8.012787374742041
2020-07-09,NE,11.579770141562689
2020-07-10,NE,10.235689678702736
2020-07-11,NE,7.96109197232435
2020-07-12,NE,11.424683934309616
2020-07-13,NE,8.99500002067816
2020-07-14,NE,11.734856348815761
2020-07-15,NE,16.439137968825605
2020-07-16,NE,13.544195433434933
2020-07-17,NE,8.012787374742041
2020-07-18,NE,11.734856348815761
2020-07-19,NE,6.2034482901228705
2020-07-20,NE,5.272931046604438
2020-07-21,NE,13.647586238270314
2020-07-22,NE,17.731523029267873
2020-07-23,NE,15.301839115636414
2020-07-24,NE,17.162873602673272
2020-07-25,NE,18.403563260697847
2020-07-26,NE,11.424683934309616
2020-07-27,NE,11.528074739145
2020-07-28,NE,14.526408079371052
2020-07-29,NE,13.33741382376417
2020-07-30,NE,13.699281640688007
2020-07-31,NE,17.783218431685558
2020-08-01,NE,23.004454075872307
2020-08-02,NE,9.305172435184305
2020-08-03,NE,16.077270151901768
2020-08-04,NE,13.130632214093408
2020-08-05,NE,11.476379336727307
2020-08-06,NE,16.077270151901768
2020-08-07,NE,17.162873602673272
2020-08-08,NE,14.629798884206432
2020-08-09,NE,7.289051740894372
2020-08-10,NE,9.66704025210814
2020-08-11,NE,13.647586238270314
2020-08-12,NE,17.266264407508654
2020-08-13,NE,11.062816117385783
2020-08-14,NE,21.505287405759287
2020-08-15,NE,16.95609199300251
2020-08-16,NE,13.078936811675716
2020-08-17,NE,6.772097716717466
2020-08-18,NE,9.8738218617789
2020-08-19,NE,13.544195433434933
2020-08-20,NE,11.114511519803477
2020-08-21,NE,15.9221839446487
2020-08-22,NE,14.371321872117985
2020-08-23,NE,7.96109197232435
2020-08-24,NE,5.634798863528272
2020-08-25,NE,8.167873581995114
2020-08-26,NE,15.560316127724864
2020-08-27,NE,19.59255751630473
2020-08-28,NE,19.33408050421628
2020-08-29,NE,17.317959809926347
2020-08-30,NE,16.387442566407913
2020-08-31,NE,15.146752908383341
2020-09-01,NE,12.458591982663428
2020-09-02,NE,14.836580493877197
2020-09-03,NE,21.763764417847735
2020-09-04,NE,24.503620745985327
2020-09-05,NE,9.925517264196591
2020-09-06,NE,7.444137948147443
2020-09-07,NE,4.1873275958329375
2020-09-08,NE,4.600890815174462
2020-09-09,NE,25.95109201368067
2020-09-10,NE,22.74597706378385
2020-09-11,NE,23.573103502466907
2020-09-12,NE,24.193448331479193
2020-09-13,NE,13.802672445523383
2020-09-14,NE,11.734856348815761
2020-09-15,NE,15.870488542231007
2020-09-16,NE,16.95609199300251
2020-09-17,NE,23.21123568554307
2020-09-18,NE,25.95109201368067
2020-09-19,NE,24.09005752664381
2020-09-20,NE,21.19511499125314
2020-09-21,NE,14.784885091459506
2020-09-22,NE,15.767097737395627
2020-09-23,NE,20.52307475982316
2020-09-24,NE,25.485833391921453
2020-09-25,NE,23.418017295213836
2020-09-26,NE,22.28071844202464
2020-09-27,NE,22.435804649277717
2020-09-28,NE,24.1417529290615
2020-09-29,NE,26.62313224511065
2020-09-30,NE,24.09005752664381
2020-10-01,NE,26.881609257199106
2020-10-02,NE,32.10284490138585
2020-10-03,NE,40.942758714810935
2020-10-04,NE,22.02224142993619
2020-10-05,NE,20.884942576746994
2020-10-06,NE,23.366321892796144
2020-10-07,NE,25.744310404009905
2020-10-08,NE,33.03336214490428
2020-10-09,NE,34.27405180292885
2020-10-10,NE,56.089511623194284
