date,STUSPS,positiveIncreaseRate
2020-01-22,MA,0.0
2020-01-23,MA,0.0
2020-01-24,MA,0.0
2020-01-25,MA,0.0
2020-01-26,MA,0.0
2020-01-27,MA,0.0
2020-01-28,MA,0.0
2020-01-29,MA,0.0
2020-01-30,MA,0.0
2020-01-31,MA,0.0
2020-02-01,MA,0.0
2020-02-02,MA,0.0
2020-02-03,MA,0.0
2020-02-04,MA,0.0
2020-02-05,MA,0.0
2020-02-06,MA,0.0
2020-02-07,MA,0.0
2020-02-08,MA,0.0
2020-02-09,MA,0.0
2020-02-10,MA,0.0
2020-02-11,MA,0.0
2020-02-12,MA,0.0
2020-02-13,MA,0.0
2020-02-14,MA,0.0
2020-02-15,MA,0.0
2020-02-16,MA,0.0
2020-02-17,MA,0.0
2020-02-18,MA,0.0
2020-02-19,MA,0.0
2020-02-20,MA,0.0
2020-02-21,MA,0.0
2020-02-22,MA,0.0
2020-02-23,MA,0.0
2020-02-24,MA,0.0
2020-02-25,MA,0.0
2020-02-26,MA,0.0
2020-02-27,MA,0.0
2020-02-28,MA,0.0
2020-02-29,MA,0.0
2020-03-01,MA,0.0
2020-03-02,MA,0.0
2020-03-03,MA,0.0
2020-03-04,MA,0.0
2020-03-05,MA,0.0
2020-03-06,MA,0.0
2020-03-07,MA,0.0
2020-03-08,MA,0.0
2020-03-09,MA,0.0
2020-03-10,MA,0.0
2020-03-11,MA,0.0
2020-03-12,MA,0.1160681395423404
2020-03-13,MA,0.21762776164188832
2020-03-14,MA,0.21762776164188832
2020-03-15,MA,0.3772214535126064
2020-03-16,MA,0.4787810756121542
2020-03-17,MA,0.3046788662986437
2020-03-18,MA,0.551323662826117
2020-03-19,MA,1.0591217733238565
2020-03-20,MA,1.233223982637367
2020-03-21,MA,1.624953953592766
2020-03-22,MA,1.7555306105778992
2020-03-23,MA,1.9006157850058245
2020-03-24,MA,5.542253663146755
2020-03-25,MA,9.851283343656144
2020-03-26,MA,8.400431599376889
2020-03-27,MA,12.085595029846196
2020-03-28,MA,14.6100770648921
2020-03-29,MA,10.126945175069203
2020-03-30,MA,11.563288401905663
2020-03-31,MA,12.593393140343936
2020-04-01,MA,16.220522501042073
2020-04-02,MA,17.816459419749254
2020-04-03,MA,20.83423104785011
2020-04-04,MA,19.354362268685264
2020-04-05,MA,11.099015843736305
2020-04-06,MA,19.397887821013644
2020-04-07,MA,19.804126309411835
2020-04-08,MA,23.039525699154574
2020-04-09,MA,31.207821019446783
2020-04-10,MA,29.52483299608285
2020-04-11,MA,27.39208093199234
2020-04-12,MA,37.93977311290253
2020-04-13,MA,20.50053514666588
2020-04-14,MA,19.078700437272207
2020-04-15,MA,27.00035096103694
2020-04-16,MA,36.59048099072282
2020-04-17,MA,38.20092642687279
2020-04-18,MA,34.84945889758771
2020-04-19,MA,33.26803049632333
2020-04-20,MA,23.15559383869691
2020-04-21,MA,25.418922559772554
2020-04-22,MA,25.317362937673007
2020-04-23,MA,44.67172520635827
2020-04-24,MA,43.19185642719343
2020-04-25,MA,34.51576299640348
2020-04-26,MA,23.06854273404016
2020-04-27,MA,22.110980582815852
2020-04-28,MA,26.69567209473829
2020-04-29,MA,28.480219740201782
2020-04-30,MA,28.146523839017554
2020-05-01,MA,30.554937734521122
2020-05-02,MA,28.320626048331064
2020-05-03,MA,26.46353581565361
2020-05-04,MA,14.508517442792554
2020-05-05,MA,17.17808465226638
2020-05-06,MA,25.44793959465814
2020-05-07,MA,24.60644558297617
2020-05-08,MA,23.3877301177816
2020-05-09,MA,20.4570095943375
2020-05-10,MA,15.233943314932182
2020-05-11,MA,9.706198169228216
2020-05-12,MA,12.622410175229518
2020-05-13,MA,16.902422820853324
2020-05-14,MA,24.446851891105453
2020-05-15,MA,17.976053111619972
2020-05-16,MA,21.936878373502342
2020-05-17,MA,15.62567328588758
2020-05-18,MA,15.117875175389841
2020-05-19,MA,12.6659357275579
2020-05-20,MA,15.161400727718215
2020-05-21,MA,16.162488431270905
2020-05-22,MA,11.679356541448007
2020-05-23,MA,11.215083983278642
2020-05-24,MA,14.697128169548854
2020-05-25,MA,8.647076395904362
2020-05-26,MA,6.122594360858457
2020-05-27,MA,7.645988692351676
2020-05-28,MA,9.793249273884973
2020-05-29,MA,8.951755262203006
2020-05-30,MA,11.447220262363324
2020-05-31,MA,9.633655582014255
2020-06-01,MA,55.71270698032341
2020-06-02,MA,5.194049244519733
2020-06-03,MA,6.224153982958004
2020-06-04,MA,6.833511715555294
2020-06-05,MA,7.167207616739521
2020-06-06,MA,8.342397529605718
2020-06-07,MA,4.410589302608936
2020-06-08,MA,2.756618314130585
2020-06-09,MA,3.815740087454442
2020-06-10,MA,3.873774157225612
2020-06-11,MA,7.413852413266995
2020-06-12,MA,5.687338837574682
2020-06-13,MA,4.8748618607782985
2020-06-14,MA,3.017771628100851
2020-06-15,MA,1.262241017522952
2020-06-16,MA,2.8291609013445487
2020-06-17,MA,3.8592656397828193
2020-06-18,MA,3.931808226996782
2020-06-19,MA,3.307941976956702
2020-06-20,MA,4.14943598863867
2020-06-21,MA,1.8135646803490693
2020-06-22,MA,2.1617690989760905
2020-06-23,MA,3.3224504943994946
2020-06-24,MA,2.4954650001603187
2020-06-25,MA,3.2789249420711166
2020-06-26,MA,3.3804845641706645
2020-06-27,MA,5.4116770061616215
2020-06-28,MA,3.249907907185532
2020-06-29,MA,1.4653602617220478
2020-06-30,MA,1.653970988478351
2020-07-01,MA,3.7867230525688567
2020-07-02,MA,2.8291609013445487
2020-07-03,MA,4.2074700584098395
2020-07-04,MA,3.046788662986436
2020-07-05,MA,1.9731583722197872
2020-07-06,MA,2.3648883431751857
2020-07-07,MA,2.9162120060013037
2020-07-08,MA,3.8302486048972337
2020-07-09,MA,4.2800126456238035
2020-07-10,MA,3.0903142153148138
2020-07-11,MA,4.1784530235242565
2020-07-12,MA,2.8871949711157185
2020-07-13,MA,3.3369590118422874
2020-07-14,MA,4.396080785166143
2020-07-15,MA,3.148348285085984
2020-07-16,MA,3.3949930816134577
2020-07-17,MA,4.323538197952181
2020-07-18,MA,5.208557761962528
2020-07-19,MA,4.294521163066595
2020-07-20,MA,3.699671947912101
2020-07-21,MA,3.540078256041383
2020-07-22,MA,4.163944506081463
2020-07-23,MA,4.744285203793165
2020-07-24,MA,4.903878895663883
2020-07-25,MA,4.1059104363102925
2020-07-26,MA,5.353642936390452
2020-07-27,MA,4.192961540967048
2020-07-28,MA,3.714180465354893
2020-07-29,MA,7.283275756281861
2020-07-30,MA,6.0065262213161175
2020-07-31,MA,7.457377965595372
2020-08-01,MA,6.209645465515213
2020-08-02,MA,6.064560291087288
2020-08-03,MA,2.8871949711157185
2020-08-04,MA,7.921650523764733
2020-08-05,MA,6.383747674828722
2020-08-06,MA,3.35146752928508
2020-08-07,MA,6.050051773644494
2020-08-08,MA,6.0935773259728725
2020-08-09,MA,4.77330223867875
2020-08-10,MA,1.3202750872941225
2020-08-11,MA,0.0
2020-08-12,MA,0.0
2020-08-13,MA,0.0
2020-08-14,MA,0.0
2020-08-15,MA,0.0
