date,STUSPS,positiveIncreaseRate
2020-01-22,WA,0.0
2020-01-23,WA,0.0
2020-01-24,WA,0.0
2020-01-25,WA,0.0
2020-01-26,WA,0.0
2020-01-27,WA,0.0
2020-01-28,WA,0.0
2020-01-29,WA,0.0
2020-01-30,WA,0.0
2020-01-31,WA,0.0
2020-02-01,WA,0.0
2020-02-02,WA,0.0
2020-02-03,WA,0.0
2020-02-04,WA,0.0
2020-02-05,WA,0.0
2020-02-06,WA,0.0
2020-02-07,WA,0.0
2020-02-08,WA,0.0
2020-02-09,WA,0.0
2020-02-10,WA,0.0
2020-02-11,WA,0.0
2020-02-12,WA,0.0
2020-02-13,WA,0.0
2020-02-14,WA,0.0
2020-02-15,WA,0.0
2020-02-16,WA,0.0
2020-02-17,WA,0.0
2020-02-18,WA,0.0
2020-02-19,WA,0.0
2020-02-20,WA,0.0
2020-02-21,WA,0.0
2020-02-22,WA,0.0
2020-02-23,WA,0.0
2020-02-24,WA,0.0
2020-02-25,WA,0.0
2020-02-26,WA,0.0
2020-02-27,WA,0.0
2020-02-28,WA,0.0
2020-02-29,WA,0.23637889593458505
2020-03-01,WA,0.2101145741640756
2020-03-02,WA,0.4070969874428964
2020-03-03,WA,0.3283040221313681
2020-03-04,WA,0.4990221136396794
2020-03-05,WA,0.6697402051479909
2020-03-06,WA,0.5121542745249342
2020-03-07,WA,0.4990221136396794
2020-03-08,WA,0.8010618140005381
2020-03-09,WA,0.8010618140005381
2020-03-10,WA,1.4445376973780195
2020-03-11,WA,1.7597095586241331
2020-03-12,WA,2.3506567984605957
2020-03-13,WA,2.8496789121002752
2020-03-14,WA,2.048617098099737
2020-03-15,WA,1.4182733756075099
2020-03-16,WA,3.939648265576417
2020-03-17,WA,3.4668904737072466
2020-03-18,WA,3.795194495838616
2020-03-19,WA,4.373009574789823
2020-03-20,WA,3.979044748232181
2020-03-21,WA,2.5476392117394164
2020-03-22,WA,2.442581924657379
2020-03-23,WA,6.080190489872937
2020-03-24,WA,5.751886467741568
2020-03-25,WA,5.778150789512077
2020-03-26,WA,5.712489985085805
2020-03-27,WA,6.093322650758193
2020-03-28,WA,3.78206233495336
2020-03-29,WA,3.1779829342316432
2020-03-30,WA,7.39340657839841
2020-03-31,WA,6.106454811643447
2020-04-01,WA,5.909472398364626
2020-04-02,WA,5.2134678714461264
2020-04-03,WA,5.44984676738071
2020-04-04,WA,2.718357303247728
2020-04-05,WA,2.2455995113785576
2020-04-06,WA,5.174071388790361
2020-04-07,WA,5.423582445610202
2020-04-08,WA,4.5305955054128795
2020-04-09,WA,4.766974401347465
2020-04-10,WA,4.0578377135437105
2020-04-11,WA,2.035484937214482
2020-04-12,WA,1.1687623187876706
