date,STUSPS,positiveIncreaseRate
2020-01-22,MI,0.0
2020-01-23,MI,0.0
2020-01-24,MI,0.0
2020-01-25,MI,0.0
2020-01-26,MI,0.0
2020-01-27,MI,0.0
2020-01-28,MI,0.0
2020-01-29,MI,0.0
2020-01-30,MI,0.0
2020-01-31,MI,0.0
2020-02-01,MI,0.0
2020-02-02,MI,0.0
2020-02-03,MI,0.0
2020-02-04,MI,0.0
2020-02-05,MI,0.0
2020-02-06,MI,0.0
2020-02-07,MI,0.0
2020-02-08,MI,0.0
2020-02-09,MI,0.0
2020-02-10,MI,0.0
2020-02-11,MI,0.0
2020-02-12,MI,0.0
2020-02-13,MI,0.0
2020-02-14,MI,0.0
2020-02-15,MI,0.0
2020-02-16,MI,0.0
2020-02-17,MI,0.0
2020-02-18,MI,0.0
2020-02-19,MI,0.0
2020-02-20,MI,0.0
2020-02-21,MI,0.0
2020-02-22,MI,0.0
2020-02-23,MI,0.0
2020-02-24,MI,0.0
2020-02-25,MI,0.0
2020-02-26,MI,0.0
2020-02-27,MI,0.0
2020-02-28,MI,0.0
2020-02-29,MI,0.0
2020-03-01,MI,0.1401842441520891
2020-03-02,MI,0.1301710838555113
2020-03-03,MI,0.23030268682128924
2020-03-04,MI,0.24031584711786705
2020-03-05,MI,0.2603421677110226
2020-03-06,MI,0.4005264118631117
2020-03-07,MI,0.4806316942357341
2020-03-08,MI,0.630829098684401
2020-03-09,MI,1.2115923958859127
2020-03-10,MI,1.5620530062661355
2020-03-11,MI,1.9926188990189808
2020-03-12,MI,2.7035532800760036
2020-03-13,MI,3.644790347954317
2020-03-14,MI,3.6748298288440497
2020-03-15,MI,4.6060537364257845
2020-03-16,MI,7.0793043296804985
2020-03-17,MI,7.650054466585432
2020-03-18,MI,8.731475778615835
2020-03-19,MI,7.459804420950456
2020-03-20,MI,9.442410159672855
2020-03-21,MI,8.050580878448544
2020-03-22,MI,8.000515076965655
2020-03-23,MI,12.416318767756461
2020-03-24,MI,10.944384204159524
2020-03-25,MI,11.815529149961796
2020-03-26,MI,11.41500273809868
2020-03-27,MI,13.257424232668994
2020-03-28,MI,10.674028876151926
2020-03-29,MI,9.20209431255499
2020-03-30,MI,15.810780108296333
2020-03-31,MI,12.92698994288193
2020-04-01,MI,15.940951192151847
2020-04-02,MI,11.314871135132904
2020-04-03,MI,12.045831836783085
2020-04-04,MI,10.033186617170948
2020-04-05,MI,8.781541580098724
2020-04-06,MI,13.287463713558731
2020-04-07,MI,11.805515989665215
2020-04-08,MI,11.01447632623557
2020-04-09,MI,10.333581426068283
2020-04-10,MI,10.774160479117704
2020-04-11,MI,8.090633519634856
2020-04-12,MI,6.869027963452367
2020-04-13,MI,10.373634067254592
2020-04-14,MI,9.121989030182368
2020-04-15,MI,9.212107472851569
2020-04-16,MI,9.232133793444724
2020-04-17,MI,8.66138365653979
2020-04-18,MI,7.099330650273656
2020-04-19,MI,5.286948636593074
2020-04-20,MI,9.382331197893393
2020-04-21,MI,10.96441052475268
2020-04-22,MI,11.174686890980816
2020-04-23,MI,9.903015533315438
2020-04-24,MI,10.373634067254592
2020-04-25,MI,5.337014438075963
2020-04-26,MI,5.266922315999919
2020-04-27,MI,9.212107472851569
2020-04-28,MI,8.300909885862989
2020-04-29,MI,9.512502281748905
2020-04-30,MI,10.183384021619617
2020-05-01,MI,7.359672817984678
2020-05-02,MI,4.325685248121607
2020-05-03,MI,3.574698225878272
2020-05-04,MI,7.810265031330677
