date,STUSPS,positiveIncreaseRate
2020-01-22,MN,0.0
2020-01-23,MN,0.0
2020-01-24,MN,0.0
2020-01-25,MN,0.0
2020-01-26,MN,0.0
2020-01-27,MN,0.0
2020-01-28,MN,0.0
2020-01-29,MN,0.0
2020-01-30,MN,0.0
2020-01-31,MN,0.0
2020-02-01,MN,0.0
2020-02-02,MN,0.0
2020-02-03,MN,0.0
2020-02-04,MN,0.0
2020-02-05,MN,0.0
2020-02-06,MN,0.0
2020-02-07,MN,0.0
2020-02-08,MN,0.0
2020-02-09,MN,0.0
2020-02-10,MN,0.0
2020-02-11,MN,0.0
2020-02-12,MN,0.0
2020-02-13,MN,0.0
2020-02-14,MN,0.0
2020-02-15,MN,0.0
2020-02-16,MN,0.0
2020-02-17,MN,0.0
2020-02-18,MN,0.0
2020-02-19,MN,0.0
2020-02-20,MN,0.0
2020-02-21,MN,0.0
2020-02-22,MN,0.0
2020-02-23,MN,0.0
2020-02-24,MN,0.0
2020-02-25,MN,0.0
2020-02-26,MN,0.0
2020-02-27,MN,0.0
2020-02-28,MN,0.0
2020-02-29,MN,0.0
2020-03-01,MN,0.0
2020-03-02,MN,0.0
2020-03-03,MN,0.0
2020-03-04,MN,0.0
2020-03-05,MN,0.0
2020-03-06,MN,0.0177316534128468
2020-03-07,MN,0.0177316534128468
2020-03-08,MN,0.0
2020-03-09,MN,0.05319496023854039
2020-03-10,MN,0.10638992047708078
2020-03-11,MN,0.17731653412846796
2020-03-12,MN,0.3900963750826295
2020-03-13,MN,0.33690141484408914
2020-03-14,MN,0.4964862955597102
2020-03-15,MN,0.6738028296881783
2020-03-16,MN,0.9043143240551864
2020-03-17,MN,1.1880207786607353
2020-03-18,MN,0.4078280284954763
2020-03-19,MN,0.3191697614312423
2020-03-20,MN,0.2837064546055487
2020-03-21,MN,0.4255596819083231
2020-03-22,MN,0.3900963750826295
2020-03-23,MN,0.7801927501652589
2020-03-24,MN,0.9043143240551864
2020-03-25,MN,1.0284358979451145
2020-03-26,MN,1.1170941650093482
2020-03-27,MN,1.3298740059635097
2020-03-28,MN,0.8333877104037994
2020-03-29,MN,0.6738028296881783
2020-03-30,MN,1.737702034458986
2020-03-31,MN,1.649043767394752
2020-04-01,MN,1.0107042445322674
2020-04-02,MN,1.471727233266284
2020-04-03,MN,1.1170941650093482
2020-04-04,MN,0.691534483101025
2020-04-05,MN,1.046167551357961
